"time_sec","total_count","normal_ratio","blank_screen_ratio","end_early_ratio","no_act_ratio","no_delivery_ratio","handoff_ratio","refresh_ratio"
"2018-09-16 19:30:00",2,0,0,0,0,2,0,0
"2018-09-16 19:45:00",2,0,0,0,0,2,0,0
"2018-09-16 20:00:00",4,0,0,0,0,4,0,0
"2018-09-16 20:15:00",1,0,0,0,0,1,0,0
"2018-09-16 20:30:00",1,0,0,0,0,1,0,0
"2018-09-16 20:45:00",2,0,0,0,0,2,0,0
"2018-09-16 21:00:00",5,0,0,0,0,5,0,0
"2018-09-16 21:15:00",9,0,0,0,0,9,0,0
"2018-09-16 21:30:00",3,0,0,0,0,3,0,0
"2018-09-16 21:45:00",4,0,0,0,0,4,0,0
"2018-09-16 22:00:00",3,0,0,0,0,3,0,0
"2018-09-16 22:15:00",10,0,0,0,0,10,0,0
"2018-09-16 22:30:00",2,0,0,0,0,2,0,0
"2018-09-16 22:45:00",2,0,0,0,0,2,0,0
"2018-09-16 23:00:00",3,0,0,0,0,3,0,0
"2018-09-16 23:15:00",7,0,0,0,0,7,0,0
"2018-09-16 23:30:00",6,0,0,0,0,6,0,0
"2018-09-16 23:45:00",5,0,0,0,0,5,0,0
"2018-09-17 00:00:00",7,0,0,0,0,7,0,0
"2018-09-17 00:15:00",3,0,0,0,0,3,0,0
"2018-09-17 00:30:00",4,0,0,0,0,4,0,0
"2018-09-17 00:45:00",1,0,0,0,0,1,0,0
"2018-09-17 01:00:00",2,0,0,0,0,2,0,0
"2018-09-17 01:30:00",6,0,0,0,0,6,0,0
"2018-09-17 01:45:00",8,0,0,0,0,8,0,0
"2018-09-17 02:00:00",8,0,0,0,0,8,0,0
"2018-09-17 02:15:00",7,0,0,0,0,7,0,0
"2018-09-17 02:30:00",8,0,0,0,0,8,0,0
"2018-09-17 02:45:00",15,0,0,0,0,15,0,0
"2018-09-17 03:00:00",6,0,0,0,0,6,0,0
"2018-09-17 03:15:00",9,0,0,0,0,9,0,0
"2018-09-17 03:30:00",2,0,0,0,0,2,0,0
"2018-09-17 03:45:00",1,0,0,0,0,1,0,0
"2018-09-17 04:00:00",4,0,0,0,0,4,0,0
"2018-09-17 04:15:00",3,0,0,0,0,3,0,0
"2018-09-17 04:30:00",5,0,0,0,0,5,0,0
"2018-09-17 04:45:00",3,0,0,0,0,3,0,0
"2018-09-17 05:00:00",1,0,0,0,0,1,0,0
"2018-09-17 05:15:00",3,0,0,0,0,3,0,0
"2018-09-17 05:30:00",4,0,0,0,0,4,0,0
"2018-09-17 05:45:00",1,0,0,0,0,1,0,0
"2018-09-17 06:15:00",9,0,0,0,0,9,0,0
"2018-09-17 06:30:00",2,0,0,0,0,2,0,0
"2018-09-17 06:45:00",6,0,0,0,0,6,0,0
"2018-09-17 07:00:00",2,0,0,0,0,2,0,0
"2018-09-17 07:15:00",6,0,0,0,0,6,0,0
"2018-09-17 07:30:00",3,0,0,0,0,3,0,0
"2018-09-17 07:45:00",1,0,0,0,0,1,0,0
"2018-09-17 08:30:00",1,0,0,0,0,1,0,0
